date,negative,neutral,positive,compound,daily_count,original_date,original_open,original_high,original_low,original_close,original_adj close,original_volume,lagged_price_date,lagged_open,lagged_high,lagged_low,lagged_close,lagged_adj close,lagged_btc_volume,price_change,price_direction
2017-11-23,0.0350705882352941,0.9180023529411764,0.0469623529411764,0.0436378823529411,425,2017-11-23,8232.3798828125,8267.400390625,8038.77001953125,8038.77001953125,8038.77001953125,4225179904,2017-11-30,9906.7900390625,10801.0,9202.0498046875,10233.599609375,10233.599609375,8310689792,2194.82958984375,positive
2017-11-24,0.0382884990253411,0.9168187134502924,0.0449415204678362,0.0204091617933723,513,2017-11-24,8074.02001953125,8374.16015625,7940.93017578125,8253.6904296875,8253.6904296875,5058610176,2017-12-01,10198.599609375,11046.7001953125,9694.650390625,10975.599609375,10975.599609375,6783119872,2721.9091796875,positive
2017-11-25,0.0378912213740458,0.9248931297709924,0.0372557251908396,-0.0062883587786259,524,2017-11-25,8241.7099609375,8790.919921875,8191.14990234375,8790.919921875,8790.919921875,4342060032,2017-12-02,10978.2998046875,11320.2001953125,10905.099609375,11074.599609375,11074.599609375,5138500096,2283.6796875,positive
2017-11-26,0.0225211267605633,0.9205571205007824,0.0569374021909233,0.1056097026604068,639,2017-11-26,8789.0400390625,9522.9296875,8775.58984375,9330.5498046875,9330.5498046875,5475579904,2017-12-03,11082.7001953125,11858.7001953125,10862.0,11323.2001953125,11323.2001953125,6608309760,1992.650390625,positive
2017-11-27,0.0287384105960264,0.9207665562913908,0.0505082781456953,0.0655991721854304,604,2017-11-27,9352.7197265625,9818.349609375,9352.7197265625,9818.349609375,9818.349609375,5653320192,2017-12-04,11315.400390625,11657.2001953125,11081.7998046875,11657.2001953125,11657.2001953125,6132409856,1838.8505859375,positive
2017-11-28,0.03354,0.9085476923076924,0.0579538461538461,0.0680736923076923,650,2017-11-28,9823.4296875,10125.7001953125,9736.2998046875,10058.7998046875,10058.7998046875,6348819968,2017-12-05,11685.7001953125,12032.0,11604.599609375,11916.7001953125,11916.7001953125,6895260160,1857.900390625,positive
2017-11-29,0.0320959367945823,0.9078510158013544,0.0600756207674943,0.0857989841986456,886,2017-11-29,10077.400390625,11517.400390625,9601.0302734375,9888.6103515625,9888.6103515625,11568799744,2017-12-06,11923.400390625,14369.099609375,11923.400390625,14291.5,14291.5,12656300032,4402.8896484375,positive
2017-11-30,0.0350815384615384,0.9111769230769232,0.0537861538461538,0.0662338461538461,650,2017-11-30,9906.7900390625,10801.0,9202.0498046875,10233.599609375,10233.599609375,8310689792,2017-12-07,14266.099609375,17899.69921875,14057.2998046875,17899.69921875,17899.69921875,17950699520,7666.099609375,positive
2017-12-01,0.0341818181818181,0.9013478260869564,0.0645079051383399,0.0902065217391304,506,2017-12-01,10198.599609375,11046.7001953125,9694.650390625,10975.599609375,10975.599609375,6783119872,2017-12-08,17802.900390625,18353.400390625,14336.900390625,16569.400390625,16569.400390625,21135998976,5593.80078125,positive
2017-12-02,0.0299188191881918,0.9166937269372694,0.0534317343173431,0.0642795202952029,542,2017-12-02,10978.2998046875,11320.2001953125,10905.099609375,11074.599609375,11074.599609375,5138500096,2017-12-09,16523.30078125,16783.0,13674.900390625,15178.2001953125,15178.2001953125,13911300096,4103.6005859375,positive
2017-12-03,0.0233038585209003,0.9307025723472668,0.046016077170418,0.0658075562700964,622,2017-12-03,11082.7001953125,11858.7001953125,10862.0,11323.2001953125,11323.2001953125,6608309760,2017-12-10,15168.400390625,15850.599609375,13226.599609375,15455.400390625,15455.400390625,13433299968,4132.2001953125,positive
2017-12-04,0.0240421052631578,0.9237596491228072,0.052219298245614,0.0725147368421052,570,2017-12-04,11315.400390625,11657.2001953125,11081.7998046875,11657.2001953125,11657.2001953125,6132409856,2017-12-11,15427.400390625,17513.900390625,15404.7998046875,16936.80078125,16936.80078125,12153900032,5279.6005859375,positive
2017-12-05,0.0293986013986014,0.9227594405594406,0.0478741258741258,0.053247972027972,715,2017-12-05,11685.7001953125,12032.0,11604.599609375,11916.7001953125,11916.7001953125,6895260160,2017-12-12,16919.80078125,17781.80078125,16571.599609375,17415.400390625,17415.400390625,14603799552,5498.7001953125,positive
2017-12-06,0.0254872037914691,0.9327924170616114,0.0417402843601895,0.0487476777251184,1055,2017-12-06,11923.400390625,14369.099609375,11923.400390625,14291.5,14291.5,12656300032,2017-12-13,17500.0,17653.099609375,16039.7001953125,16408.19921875,16408.19921875,12976900096,2116.69921875,positive
2017-12-07,0.0304714022140221,0.9174169741697416,0.0521392988929889,0.0664979704797048,1084,2017-12-07,14266.099609375,17899.69921875,14057.2998046875,17899.69921875,17899.69921875,17950699520,2017-12-14,16384.599609375,17085.80078125,16185.900390625,16564.0,16564.0,13777399808,1335.69921875,negative
2017-12-08,0.0521134161475111,0.8635485164897151,0.0843383932712436,0.0921379783646915,79777,2017-12-08,17802.900390625,18353.400390625,14336.900390625,16569.400390625,16569.400390625,21135998976,2017-12-15,16601.30078125,18154.099609375,16601.30078125,17706.900390625,17706.900390625,14309999616,1137.5,positive
2017-12-09,0.0473809097989442,0.8655478408861453,0.0870280670378169,0.1090478307900885,69334,2017-12-09,16523.30078125,16783.0,13674.900390625,15178.2001953125,15178.2001953125,13911300096,2017-12-16,17760.30078125,19716.69921875,17515.30078125,19497.400390625,19497.400390625,12740599808,4319.2001953125,positive
2017-12-10,0.0232998745294855,0.9265972396486826,0.0501254705144291,0.0805861982434127,797,2017-12-10,15168.400390625,15850.599609375,13226.599609375,15455.400390625,15455.400390625,13433299968,2017-12-17,19475.80078125,20089.0,18974.099609375,19140.80078125,19140.80078125,13314599936,3685.400390625,positive
2017-12-11,0.0276441495778045,0.9225392038600724,0.0498395657418576,0.0736560916767189,829,2017-12-11,15427.400390625,17513.900390625,15404.7998046875,16936.80078125,16936.80078125,12153900032,2017-12-18,19106.400390625,19371.0,18355.900390625,19114.19921875,19114.19921875,14839499776,2177.3984375,positive
2017-12-12,0.0235734767025089,0.9268853046594984,0.0495663082437276,0.0856655913978494,837,2017-12-12,16919.80078125,17781.80078125,16571.599609375,17415.400390625,17415.400390625,14603799552,2017-12-19,19118.30078125,19177.80078125,17275.400390625,17776.69921875,17776.69921875,16894499840,361.298828125,positive
2017-12-13,0.0200707762557077,0.9380833333333332,0.0418584474885844,0.064419406392694,876,2017-12-13,17500.0,17653.099609375,16039.7001953125,16408.19921875,16408.19921875,12976900096,2017-12-20,17760.30078125,17934.69921875,16077.7001953125,16624.599609375,16624.599609375,22149699584,216.400390625,positive
2017-12-14,0.0168740416210295,0.9479255202628696,0.0352124863088718,0.0579906900328587,913,2017-12-14,16384.599609375,17085.80078125,16185.900390625,16564.0,16564.0,13777399808,2017-12-21,16642.400390625,17567.69921875,15342.7001953125,15802.900390625,15802.900390625,16516599808,761.099609375,negative
2017-12-15,0.0212508833922261,0.9386007067137808,0.0401648998822143,0.0589672555948174,849,2017-12-15,16601.30078125,18154.099609375,16601.30078125,17706.900390625,17706.900390625,14309999616,2017-12-22,15898.0,15943.400390625,11833.0,13831.7998046875,13831.7998046875,22197999616,3875.1005859375,negative
2017-12-16,0.0281676136363636,0.9346477272727272,0.037200284090909,0.0329326704545454,704,2017-12-16,17760.30078125,19716.69921875,17515.30078125,19497.400390625,19497.400390625,12740599808,2017-12-23,13948.7001953125,15603.2001953125,13828.7998046875,14699.2001953125,14699.2001953125,13086000128,4798.2001953125,negative
2017-12-17,0.0224311111111111,0.9321437037037036,0.0454311111111111,0.0770165925925926,675,2017-12-17,19475.80078125,20089.0,18974.099609375,19140.80078125,19140.80078125,13314599936,2017-12-24,14608.2001953125,14626.0,12747.7001953125,13925.7998046875,13925.7998046875,11572299776,5215.0009765625,negative
2017-12-18,0.0266413793103448,0.9249020689655172,0.04848,0.0532113103448275,725,2017-12-18,19106.400390625,19371.0,18355.900390625,19114.19921875,19114.19921875,14839499776,2017-12-25,13995.900390625,14593.0,13448.900390625,14026.599609375,14026.599609375,10664699904,5087.599609375,negative
2017-12-19,0.0222454873646209,0.929503008423586,0.0482683513838748,0.0802541516245487,831,2017-12-19,19118.30078125,19177.80078125,17275.400390625,17776.69921875,17776.69921875,16894499840,2017-12-26,14036.599609375,16461.19921875,14028.900390625,16099.7998046875,16099.7998046875,13454300160,1676.8994140625,negative
2017-12-20,0.0277983104540654,0.9311351636747623,0.0410887011615628,0.0339706441393875,947,2017-12-20,17760.30078125,17934.69921875,16077.7001953125,16624.599609375,16624.599609375,22149699584,2017-12-27,16163.5,16930.900390625,15114.2998046875,15838.5,15838.5,12487600128,786.099609375,negative
2017-12-21,0.0311242484969939,0.9320070140280562,0.0368907815631262,0.0195952905811623,998,2017-12-21,16642.400390625,17567.69921875,15342.7001953125,15802.900390625,15802.900390625,16516599808,2017-12-28,15864.099609375,15888.400390625,13937.2998046875,14606.5,14606.5,12336499712,1196.400390625,negative
2017-12-22,0.0286073245167853,0.9285981688708036,0.0428107833163784,0.0423747711088504,983,2017-12-22,15898.0,15943.400390625,11833.0,13831.7998046875,13831.7998046875,22197999616,2017-12-29,14695.7998046875,15279.0,14307.0,14656.2001953125,14656.2001953125,13025500160,824.400390625,positive
2017-12-23,0.0228530424799081,0.9397393800229622,0.037430539609644,0.0409867967853042,871,2017-12-23,13948.7001953125,15603.2001953125,13828.7998046875,14699.2001953125,14699.2001953125,13086000128,2017-12-30,14681.900390625,14681.900390625,12350.099609375,12952.2001953125,12952.2001953125,14452599808,1747.0,negative
2017-12-24,0.0204512683578104,0.9395420560747664,0.0400226969292389,0.0539728971962616,749,2017-12-24,14608.2001953125,14626.0,12747.7001953125,13925.7998046875,13925.7998046875,11572299776,2017-12-31,12897.7001953125,14377.400390625,12755.599609375,14156.400390625,14156.400390625,12136299520,230.6005859375,positive
2017-12-25,0.0261200466200466,0.9323519813519812,0.041555944055944,0.0549748251748251,858,2017-12-25,13995.900390625,14593.0,13448.900390625,14026.599609375,14026.599609375,10664699904,2018-01-01,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125,13657.2001953125,10291200000,369.3994140625,negative
2017-12-26,0.0270972375690607,0.9353325966850828,0.0375867403314917,0.0286662983425414,905,2017-12-26,14036.599609375,16461.19921875,14028.900390625,16099.7998046875,16099.7998046875,13454300160,2018-01-02,13625.0,15444.599609375,13163.599609375,14982.099609375,14982.099609375,16846600192,1117.7001953125,negative
2017-12-27,0.0298557089084065,0.9268544542032622,0.0433174404015056,0.0323568381430363,797,2017-12-27,16163.5,16930.900390625,15114.2998046875,15838.5,15838.5,12487600128,2018-01-03,14978.2001953125,15572.7998046875,14844.5,15201.0,15201.0,16871900160,637.5,negative
2017-12-28,0.0299987179487179,0.9261628205128206,0.0438666666666666,0.0345478205128205,780,2017-12-28,15864.099609375,15888.400390625,13937.2998046875,14606.5,14606.5,12336499712,2018-01-04,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125,15599.2001953125,21783199744,992.7001953125,positive
2017-12-29,0.0256390804597701,0.9358919540229884,0.0384942528735632,0.0342358620689655,870,2017-12-29,14695.7998046875,15279.0,14307.0,14656.2001953125,14656.2001953125,13025500160,2018-01-05,15477.2001953125,17705.19921875,15202.7998046875,17429.5,17429.5,23840899072,2773.2998046875,positive
2017-12-30,0.0204718309859154,0.938,0.0415528169014084,0.061256338028169,852,2017-12-30,14681.900390625,14681.900390625,12350.099609375,12952.2001953125,12952.2001953125,14452599808,2018-01-06,17462.099609375,17712.400390625,16764.599609375,17527.0,17527.0,18314600448,4574.7998046875,positive
2017-12-31,0.0263236559139784,0.9295430107526882,0.044152688172043,0.0306120430107526,930,2017-12-31,12897.7001953125,14377.400390625,12755.599609375,14156.400390625,14156.400390625,12136299520,2018-01-07,17527.30078125,17579.599609375,16087.7001953125,16477.599609375,16477.599609375,15866000384,2321.19921875,positive
2018-01-01,0.0219639233370913,0.9209819616685456,0.0570620067643742,0.0739995490417136,887,2018-01-01,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125,13657.2001953125,10291200000,2018-01-08,16476.19921875,16537.900390625,14208.2001953125,15170.099609375,15170.099609375,18413899776,1512.8994140625,positive
2018-01-02,0.0292754854368932,0.9234478155339806,0.0472912621359223,0.0320713592233009,824,2018-01-02,13625.0,15444.599609375,13163.599609375,14982.099609375,14982.099609375,16846600192,2018-01-09,15123.7001953125,15497.5,14424.0,14595.400390625,14595.400390625,16659999744,386.69921875,negative
2018-01-03,0.0288068614993646,0.921866581956798,0.0493494282083862,0.0295143583227446,787,2018-01-03,14978.2001953125,15572.7998046875,14844.5,15201.0,15201.0,16871900160,2018-01-10,14588.5,14973.2998046875,13691.2001953125,14973.2998046875,14973.2998046875,18500800512,227.7001953125,negative
